ticket_type,order_ref,shirt_size,school,checkin_first,checkin_last
Berkeley Hacker [Waitlist],VF1W,Female S       ,"University of California, Berkeley",1478546249,1478932576
Out of State Hacker [In SF],YO5E,Female S       ,University of Waterloo,1478546559,1478920593
Out of State Hacker [In SF],7YMF,Male M         ,University of Waterloo,1478547300,1478929429
Volunteer,N7OU,Male S         ,,1478548690,1478548730
Berkeley Hacker [Waitlist],VDP4,Male M         ,"University of California, Berkeley",1478550677,1478550739
Berkeley Hacker,MCZG,Male M         ,"University of California, Berkeley",1478550760,1478924994
Berkeley Hacker,MMZ8,Male M         ,"University of California, Berkeley",1478551210,1478925099
Sponsor Representative,6Q1O,Male M         ,,1478551348,1478918431
Volunteer,2MYC,Female XL      ,,1478551484,1478551551
Berkeley Hacker,W80H,Male XL        ,"University of California, Berkeley",1478552637,1478924545
Berkeley Hacker,4DJL,Male M         ,"University of California, Berkeley",1478554854,1478554980
Berkeley Hacker,MD4R,Male L         ,"University of California, Berkeley",1478556646,1478938599
Berkeley Hacker,WAX7,Male L         ,"University of California, Berkeley",1478556675,1478924542
Berkeley Hacker,TLY1,Male M         ,"University of California, Berkeley",1478556867,1478557018
Berkeley Hacker,P9LF,Male S         ,"University of California, Berkeley",1478556869,1478924822
Berkeley Hacker,FOHZ,Male M         ,"University of California, Berkeley",1478562490,1478930549
Volunteer,QQY8,Male M         ,,1478562717,1478923355
Berkeley Hacker,X9XF,Male M         ,"University of California, Berkeley",1478563035,1478563339
Berkeley Hacker,TVFT,Male M         ,"University of California, Berkeley",1478563041,1478563119
Berkeley Hacker,DZ9W,,"University of California, Berkeley",1478563049,1478563049
Berkeley Hacker,QMBI,Female M       ,"University of California, Berkeley",1478563051,1478563143
Berkeley Hacker,XCBN,Female S       ,"University of California, Berkeley",1478563056,1478925022
Berkeley Hacker,MZEB,Male M         ,"University of California, Berkeley",1478563062,1478563123
Berkeley Hacker,4BZV,Male XL        ,"University of California, Berkeley",1478563063,1478563101
Berkeley Hacker,TLFW,Male M         ,"University of California, Berkeley",1478563074,1478925022
Berkeley Hacker,5UID,Male M         ,"University of California, Berkeley",1478563109,1478563158
Berkeley Hacker,DLNG,Female S       ,"University of California, Berkeley",1478563123,1478563269
Berkeley Hacker,IJAB,Female S       ,"University of California, Berkeley",1478563127,1478563182
Volunteer,G79K,Male M         ,,1478563247,1478563309
Berkeley Hacker,BX31,Male M         ,"University of California, Berkeley",1478563480,1478923855
Berkeley Hacker,MKFL,Female S       ,"University of California, Berkeley",1478563728,1478924267
Berkeley Hacker,VBD6,Male M         ,"University of California, Berkeley",1478563789,1478928648
Berkeley Hacker,1W5D,Male L         ,"University of California, Berkeley",1478563936,1478925592
Berkeley Hacker,QBDB,Male S         ,"University of California, Berkeley",1478563945,1478564012
Berkeley Hacker,CGDH,Male M         ,"University of California, Berkeley",1478564033,1478564104
Berkeley Hacker,J3PD,Male XL        ,"University of California, Berkeley",1478564394,1478564476
Berkeley Hacker,G39W,Male M         ,"University of California, Berkeley",1478564505,1478924512
Berkeley Hacker,ZLT1,Female S       ,"University of California, Berkeley",1478564763,1478564828
Berkeley Hacker,OXMD,Male M         ,"University of California, Berkeley",1478564798,1478918189
Berkeley Hacker,PETA,Male M         ,"University of California, Berkeley",1478564817,1478565112
Volunteer,Y6LQ,Male M         ,,1478564935,1478982415
Berkeley Hacker,X4CU,Male S         ,"University of California, Berkeley",1478564936,1478925834
Berkeley Hacker [Waitlist],Y2PS,Male XL        ,"University of California, Berkeley",1478564977,1478565313
Volunteer,C6XK,Female XS      ,,1478565106,1478925843
Berkeley Hacker,NGYE,Male M         ,"University of California, Berkeley",1478565140,1478565238
Berkeley Hacker,2TBJ,Male M         ,"University of California, Berkeley",1478565241,1478933666
Berkeley Hacker,HHCC,Female S       ,"University of California, Berkeley",1478565270,1478925217
Berkeley Hacker,HSD3,Male XL        ,"University of California, Berkeley",1478565502,1479002775
Berkeley Hacker,NYDO,Male M         ,"University of California, Berkeley",1478565638,1478923562
Berkeley Hacker,3GEY,Male M         ,"University of California, Berkeley",1478565662,1478923652
Volunteer,YEMM,Male M         ,,1478565799,1478908919
Berkeley Hacker,DHWF,Male L         ,"University of California, Berkeley",1478565810,1478996105
Berkeley Hacker,5EPC,,"University of California, Berkeley",1478565880,1478565880
Berkeley Hacker,D3K6,,"University of California, Berkeley",1478566324,1478566324
Berkeley Hacker,7I6X,Female M       ,"University of California, Berkeley",1478566346,1478925264
Berkeley Hacker,RXSZ,Female M       ,"University of California, Berkeley",1478566560,1478925159
California Hacker,1OZN,Male XS        ,University of Southern California,1478567351,1478918578
Berkeley Hacker,OOD0,Male M         ,"University of California, Berkeley",1478567755,1478927828
Berkeley Hacker,4T39,Male M         ,"University of California, Berkeley",1478568652,1478937561
Berkeley Hacker,QKTE,Male S         ,"University of California, Berkeley",1478568763,1478657154
Berkeley Hacker,AN9N,Male M         ,"University of California, Berkeley",1478570732,1478929616
Berkeley Hacker,WBJH,Male L         ,"University of California, Berkeley",1478571394,1478924659
California Hacker,B8NM,Male M         ,"University of California, Davis",1478571417,1478921818
Berkeley Hacker,TIOO,Male M         ,"University of California, Berkeley",1478571621,1478930103
Berkeley Hacker [Waitlist],RAAD,Male M         ,"University of California, Berkeley",1478572585,1478572656
Berkeley Hacker,LVXC,Male L         ,"University of California, Berkeley",1478577414,1478924614
Berkeley Hacker,NVN1,Male M         ,"University of California, Berkeley",1478578362,1478578434
Berkeley Hacker [Waitlist],AG7Q,Male L         ,"University of California, Berkeley",1478579263,1478579318
Berkeley Hacker,KDDN,Male XL        ,"University of California, Berkeley",1478579597,1478923905
Berkeley Hacker,QLJG,Male M         ,"University of California, Berkeley",1478579732,1478927675
Out of State Hacker [In SF],QTHQ,Male S         ,McGill University,1478581014,1478924738
Berkeley Hacker,LDEX,Male M         ,"University of California, Berkeley",1478581016,1478925629
Out of State Hacker [In SF],A312,Male M         ,University of Florida,1478581041,1478932385
Berkeley Hacker,QUYE,Female S       ,"University of California, Berkeley",1478582982,1478927108
Berkeley Hacker,BORT,Male M         ,"University of California, Berkeley",1478583222,1478926827
Berkeley Hacker,DEYA,Male M         ,"University of California, Berkeley",1478584265,1478584328
Berkeley Hacker,UVVD,Male S         ,"University of California, Berkeley",1478584493,1478923606
Berkeley Hacker,JVNP,Male L         ,"University of California, Berkeley",1478585069,1478925755
Berkeley Hacker,OKPB,Male S         ,"University of California, Berkeley",1478585696,1478962335
Berkeley Hacker,CZWH,Male M         ,"University of California, Berkeley",1478586673,1478586732
Berkeley Hacker,B2ZY,Male L         ,"University of California, Berkeley",1478587296,1478982220
Berkeley Hacker,6OPH,Male M         ,"University of California, Berkeley",1478587660,1478932149
Berkeley Hacker,NGNH,Male M         ,"University of California, Berkeley",1478589214,1478924130
Berkeley Hacker,ECOT,Male M         ,"University of California, Berkeley",1478590267,1478590339
Berkeley Hacker,M3KX,Female S       ,"University of California, Berkeley",1478590601,1478590646
Berkeley Hacker,PUNJ,Male M         ,"University of California, Berkeley",1478590905,1478590967
Berkeley Hacker,JMWB,Male M         ,"University of California, Berkeley",1478592149,1478924930
Berkeley Hacker,Z2VY,Male L         ,"University of California, Berkeley",1478597183,1478924003
Berkeley Hacker,OKWH,Male S         ,"University of California, Berkeley",1478608345,1478925248
Out of State Hacker [Reimbursement],HY5V,Male XS        ,Cornell University,1478623674,1478623743
Berkeley Hacker,1KJ9,Female S       ,"University of California, Berkeley",1478628814,1478628876
Berkeley Hacker,PKXN,Female S       ,"University of California, Berkeley",1478629869,1478629930
Out of State Hacker [In SF],HSMB,Male M         ,University of Waterloo,1478629912,1478924657
Sponsor Representative,QDU3,Female XL      ,,1478634271,1478929357
Berkeley Hacker,LPMX,Male S         ,"University of California, Berkeley",1478635161,1478926485
Sponsor Representative,UONF,Male M         ,,1478637438,1478976148
Berkeley Hacker,KO3Z,Male M         ,"University of California, Berkeley",1478637833,1478637921
Sponsor Representative,8LX8,Male M         ,,1478638421,1478918217
Mentor,HH6E,Male XL        ,Diablo Valley College,1478640077,1478643597
California Hacker,CDPR,Male M         ,Make School,1478640398,1478640499
California Hacker [Waitlist],BVAU,Male L         ,Stanford University,1478640627,1478640718
California Hacker [Waitlist],BOGW,Male L         ,Stanford University,1478640977,1478921683
California Hacker [Waitlist],EDDU,Male M         ,Stanford University,1478641077,1478921845
Berkeley Hacker,DI8T,Male L         ,"University of California, Berkeley",1478641227,1478923880
Sponsor Representative,PT78,Male S         ,,1478642665,1478922115
Sponsor Representative,PT78,Female M       ,,1478642665,1478922005
Sponsor Representative,PT78,,,1478642665,1478642714
Berkeley Hacker,IMAI,Male L         ,"University of California, Berkeley",1478643263,1478923287
Volunteer,DYWX,Female L       ,,1478643744,1478643835
California Hacker,XADI,Male M         ,University of Southern California,1478643917,1478644019
California Hacker,SKJX,Male M         ,University of Southern California,1478644129,1478922420
California Hacker,HW6R,Male M         ,"University of Caliornia, Berkeley",1478644242,1478644319
Berkeley Hacker [Waitlist],JG3S,Male M         ,"University of California, Berkeley",1478644270,1478971692
California Hacker,QHNJ,Male S         ,University of Southern California,1478644281,1478922324
California Hacker,DDIC,Female M       ,University of Southern California,1478644365,1478922600
Berkeley Hacker,SOZ6,Male M         ,"University of California, Berkeley",1478644802,1478644843
Berkeley Hacker,PXR3,Male M         ,"University of California, Berkeley",1478644853,1478644915
Berkeley Hacker,TA82,Male M         ,"University of California, Berkeley",1478645007,1478645103
Sponsor Representative,DTDY,Female XS      ,,1478645103,1478645152
Berkeley Hacker [Waitlist],RYEH,Male L         ,"University of California, Berkeley",1478645445,1479002250
Sponsor Representative,TFU9,Male M         ,,1478645532,1478991638
California Hacker,QWNU,Male M         ,University of Southern California,1478647740,1478647861
Sponsor Representative,5Q9A,Female S       ,,1478648403,1478648426
Volunteer,D5CB,Female S       ,,1478650993,1478922710
Volunteer,F3IM,Male M         ,,1478651402,1478959339
Berkeley Hacker [Waitlist],NXZD,Male S         ,"University of California, Berkeley",1478651474,1478651531
Berkeley Hacker,DULL,Male M         ,"University of California, Berkeley",1478652493,1478927612
California Hacker,1PIN,Male M         ,"University of California, Irvine",1478652574,1478918153
Berkeley Hacker,KNE9,Male M         ,"University of California, Berkeley",1478652902,1478925755
Berkeley Hacker,L6RN,Female M       ,"University of California, Berkeley",1478652985,1478925555
California Hacker,LNDY,Male M         ,"University of California, Irvine",1478653148,1478653225
Sponsor Representative,SLPA,Male S         ,,1478654444,1478916386
Berkeley Hacker [Waitlist],D5AL,Male L         ,"University of California, Berkeley",1478654514,1478654577
Berkeley Hacker,NUQM,Male M         ,"University of California, Berkeley",1478655076,1478655297
Berkeley Hacker,BMOJ,Male M         ,"University of California, Berkeley",1478655085,1478925093
Berkeley Hacker,IRLT,Male L         ,"University of California, Berkeley",1478657835,1478657918
Berkeley Hacker,8SBL,Male L         ,"University of California, Berkeley",1478658330,1478658392
Berkeley Hacker,27JD,Female XS      ,"University of California, Berkeley",1478658419,1478933849
Berkeley Hacker,YHQQ,Male M         ,"University of California, Berkeley",1478658457,1478658503
Berkeley Hacker,NEED,Male L         ,"University of California, Berkeley",1478658477,1478926942
Berkeley Hacker,OBUC,Male M         ,"University of California, Berkeley",1478658494,1478658615
Berkeley Hacker,BJYD,Male M         ,"University of California, Berkeley",1478658531,1478658648
Berkeley Hacker,ODD6,Male M         ,"University of California, Berkeley",1478658541,1478658631
Berkeley Hacker,SIXX,Male M         ,"University of California, Berkeley",1478658578,1478658708
Berkeley Hacker,HF66,Male L         ,"University of California, Berkeley",1478658810,1478931107
Berkeley Hacker,LO3Z,Female M       ,"University of California, Berkeley",1478658827,1478926030
Berkeley Hacker [Waitlist],BJRE,Male L         ,"University of California, Berkeley",1478659001,1478659125
Berkeley Hacker [Waitlist],1GUW,Male M         ,"University of California, Berkeley",1478659047,1478714971
Berkeley Hacker [Waitlist],GSA2,Male M         ,"University of California, Berkeley",1478659199,1478966420
Berkeley Hacker,Q6GM,Female M       ,"University of California, Berkeley",1478659337,1478926263
Berkeley Hacker,SA0Q,Female M       ,"University of California, Berkeley",1478659466,1478926655
Berkeley Hacker,GYEI,Male L         ,"University of California, Berkeley",1478659726,1478924249
Berkeley Hacker,MXAZ,Female S       ,"University of California, Berkeley",1478659771,1478928305
Berkeley Hacker,SIHO,Female XS      ,"University of California, Berkeley",1478659800,1478659902
Berkeley Hacker,KF9K,Male M         ,"University of California, Berkeley",1478660622,1478660687
Berkeley Hacker,HXNS,Male M         ,"University of California, Berkeley",1478660798,1478661307
Berkeley Hacker,5XYH,Male L         ,"University of California, Berkeley",1478661320,1478925064
Berkeley Hacker [Waitlist],5KRO,Male XL        ,"University of California, Berkeley",1478661322,1478937056
Berkeley Hacker,G9HL,Male M         ,"University of California, Berkeley",1478661490,1478937485
Berkeley Hacker [Waitlist],N68Z,Female M       ,"University of California, Berkeley",1478661515,1478661541
Berkeley Hacker [Waitlist],YCZO,Male L         ,"University of California, Berkeley",1478661691,1478661742
Berkeley Hacker,KM2V,Male M         ,"University of California, Berkeley",1478661872,1478918294
Volunteer,4NBU,Female S       ,,1478662691,1478981435
Volunteer,BMJ6,Female XS      ,,1478663730,1478924130
Berkeley Hacker,YLLU,Male M         ,"University of California, Berkeley",1478664132,1478925315
Berkeley Hacker [Waitlist],TA5X,Male L         ,"University of California, Berkeley",1478664477,1478664529
Berkeley Hacker,K071,Male M         ,"University of California, Berkeley",1478665829,1478930519
Berkeley Hacker,FH2D,Male M         ,"University of California, Berkeley",1478666830,1478924715
Berkeley Hacker,J7CV,Male S         ,"University of California, Berkeley",1478668971,1478923622
Berkeley Hacker,VQUD,Male M         ,"University of California, Berkeley",1478669112,1478669278
